,reaction,correct_reaction,test_reaction,transformation_score,whole_mol_score
0,0.0,52.0,59.0,0.03773584905660377,0.08105388920329498
1,0.0,52.0,23.0,0.0,0.16789380699995227
2,0.0,52.0,58.0,0.1839080459770115,0.22793650793650794
3,0.0,52.0,13.0,0.38461538461538464,0.21449108683151236
4,0.0,52.0,80.0,0.043478260869565216,0.08981619473422753
5,0.0,52.0,98.0,0.03409090909090909,0.05074481074481074
6,0.0,52.0,62.0,0.0,0.13019293057315873
7,0.0,52.0,84.0,0.09523809523809523,0.2857788410419989
8,0.0,52.0,55.0,0.025,0.14548260381593714
9,0.0,52.0,75.0,0.136986301369863,0.08283559166019039
10,0.0,52.0,57.0,0.10619469026548672,0.11114257206806352
11,0.0,52.0,16.0,0.016129032258064516,0.08575128998968008
12,0.0,52.0,53.0,0.0,0.21538719409989943
13,0.0,52.0,77.0,0.0,0.21538719409989943
14,0.0,52.0,39.0,0.0,0.17515810642745627
15,0.0,52.0,99.0,0.1891891891891892,0.2884848484848485
16,0.0,52.0,17.0,0.0945945945945946,0.14870287028702872
17,0.0,52.0,28.0,0.2692307692307692,0.21343211682241525
18,0.0,52.0,31.0,0.08695652173913043,0.1302003410059676
19,0.0,52.0,88.0,0.02631578947368421,0.19144135649686883
20,0.0,52.0,78.0,0.23646723646723644,0.06470108865181858
21,0.0,52.0,38.0,0.16647531572904706,0.08113529998045557
22,0.0,52.0,15.0,0.14457831325301204,0.07232180498603856
23,0.0,52.0,34.0,0.15873015873015872,0.08972346492949271
24,0.0,52.0,86.0,0.15873015873015872,0.08972346492949271
25,0.0,52.0,67.0,0.17721518987341772,0.11993424479945215
26,0.0,52.0,87.0,0.2448356807511737,0.1417463767542158
27,0.0,52.0,50.0,0.29258773845929814,0.12534714289136883
28,0.0,52.0,37.0,0.056338028169014086,0.24427492223374314
29,0.0,52.0,11.0,0.5128205128205128,0.5934858792001649
30,0.0,52.0,68.0,0.056338028169014086,0.18912936276199988
31,0.0,52.0,65.0,0.37037037037037035,0.13318058563005303
32,0.0,52.0,47.0,0.40816326530612246,0.19081487502540134
33,0.0,52.0,97.0,0.27977977977977975,0.06083045076090954
34,0.0,52.0,3.0,0.37037037037037035,0.09783214265655649
35,0.0,52.0,64.0,0.35377358490566035,0.15386404771142126
36,0.0,52.0,40.0,0.7457627118644068,0.24192237350132087
37,0.0,52.0,82.0,0.36363636363636365,0.21303126097646646
38,0.0,52.0,83.0,0.07207207207207207,0.36507533434907735
39,0.0,52.0,73.0,0.25415070242656446,0.33432540528834026
40,0.0,52.0,52.0,0.3655913978494624,0.62109375
41,0.0,52.0,36.0,0.27848101265822783,0.4346967846967847
42,0.0,52.0,4.0,0.27142857142857146,0.34776255707762554
43,0.0,52.0,43.0,0.10869565217391304,0.4455394190871369
44,0.0,52.0,96.0,0.5535168195718654,0.41355855855855855
45,0.0,52.0,51.0,0.20518518518518516,0.27416509847661247
46,0.0,52.0,10.0,0.8888888888888888,0.36298798798798804
47,0.0,52.0,32.0,0.023255813953488372,0.0535990149742272
48,0.0,52.0,12.0,0.13157894736842105,0.16939529856982052
49,0.0,52.0,35.0,0.6666666666666666,0.5
50,0.0,52.0,54.0,0.09090909090909091,0.11616161616161616
51,0.0,52.0,8.0,0.3906646372399797,0.1268113760256734
52,0.0,52.0,19.0,0.37037037037037035,0.0847974764489363
53,0.0,52.0,18.0,0.20623781676413255,0.054847485048214975
54,0.0,52.0,69.0,0.3232857800276116,0.1454093388112056
55,0.0,52.0,94.0,0.18518518518518517,0.05517690945042364
56,1.0,62.0,59.0,0.02531645569620253,0.08148578265765766
57,1.0,62.0,23.0,1.0,0.7326053892231603
58,1.0,62.0,58.0,0.0,0.1251700680272109
59,1.0,62.0,13.0,0.0,0.08669059965430129
60,1.0,62.0,80.0,0.0,0.23322218693765215
61,1.0,62.0,98.0,0.18032786885245902,0.20890914982465494
62,1.0,62.0,62.0,1.0,0.8633928571428571
63,1.0,62.0,84.0,0.025,0.11112341348576468
64,1.0,62.0,55.0,0.0,0.15059123653259399
65,1.0,62.0,75.0,0.043478260869565216,0.25991452783907043
66,1.0,62.0,57.0,0.578125,0.8928571428571428
67,1.0,62.0,16.0,0.49451476793248944,0.32257599494942885
68,1.0,62.0,53.0,0.8333333333333334,0.5740149935425588
69,1.0,62.0,77.0,0.8333333333333334,0.5740149935425588
70,1.0,62.0,39.0,0.8333333333333334,0.5038838569771433
71,1.0,62.0,99.0,0.0,0.1314420803782506
72,1.0,62.0,17.0,0.0,0.2666839039683766
73,1.0,62.0,28.0,0.031007751937984496,0.19090488502156178
74,1.0,62.0,31.0,0.0,0.21379607176224819
75,1.0,62.0,88.0,0.4835164835164835,0.4529458910000782
76,1.0,62.0,78.0,0.0,0.15849701850161318
77,1.0,62.0,38.0,0.02,0.15917941429951413
78,1.0,62.0,15.0,0.0,0.1962619998969479
79,1.0,62.0,34.0,0.0,0.226970184343177
80,1.0,62.0,86.0,0.0,0.226970184343177
81,1.0,62.0,67.0,0.0,0.24773175438401193
82,1.0,62.0,87.0,0.0,0.16158585147223198
83,1.0,62.0,50.0,0.0,0.36854154205016393
84,1.0,62.0,37.0,0.0,0.3093212874319986
85,1.0,62.0,11.0,0.0,0.1433901918976546
86,1.0,62.0,68.0,0.0,0.23647685351658743
87,1.0,62.0,65.0,0.0,0.3304327475426577
88,1.0,62.0,47.0,0.0,0.07016314909386723
89,1.0,62.0,97.0,0.0,0.165687814283013
90,1.0,62.0,3.0,0.0,0.26680605041519595
91,1.0,62.0,64.0,0.018518518518518517,0.17216081821577334
92,1.0,62.0,40.0,0.0,0.03525105075247435
93,1.0,62.0,82.0,0.0,0.07084005405641047
94,1.0,62.0,83.0,0.0,0.19326908034797277
95,1.0,62.0,73.0,0.016666666666666666,0.16711361698786684
96,1.0,62.0,52.0,0.0,0.09466306230474124
97,1.0,62.0,36.0,0.0,0.13785205293518832
98,1.0,62.0,4.0,0.023255813953488372,0.037176396604129545
99,1.0,62.0,43.0,0.06153846153846154,0.14627246902675994
100,1.0,62.0,96.0,0.0,0.04279734411085451
101,1.0,62.0,51.0,0.0136986301369863,0.1720209432709235
102,1.0,62.0,10.0,0.0,0.027578035626736396
103,1.0,62.0,32.0,0.04093567251461988,0.10777999966878643
104,1.0,62.0,12.0,0.0,0.08601548845274364
105,1.0,62.0,35.0,0.0,0.005235602094240838
106,1.0,62.0,54.0,0.06557377049180328,0.06619385342789598
107,1.0,62.0,8.0,0.0,0.25749813526559084
108,1.0,62.0,19.0,0.0,0.26411978473773623
109,1.0,62.0,18.0,0.014705882352941176,0.17810486163886807
110,1.0,62.0,69.0,0.0,0.16521637377132886
111,1.0,62.0,94.0,0.0,0.16521637377132886
112,2.0,62.0,59.0,0.02531645569620253,0.0914240972733972
113,2.0,62.0,23.0,1.0,0.7825523900682664
114,2.0,62.0,58.0,0.0,0.12452226009709741
115,2.0,62.0,13.0,0.0,0.07940878947959987
116,2.0,62.0,80.0,0.0,0.20228966494210399
117,2.0,62.0,98.0,0.18032786885245902,0.19088091174869265
118,2.0,62.0,62.0,1.0,0.7668308702791462
119,2.0,62.0,84.0,0.025,0.09129423984496449
120,2.0,62.0,55.0,0.0,0.13128213199034727
121,2.0,62.0,75.0,0.043478260869565216,0.2829885154405377
122,2.0,62.0,57.0,0.578125,0.9088669950738917
123,2.0,62.0,16.0,0.49451476793248944,0.3453138204911509
124,2.0,62.0,53.0,0.8333333333333334,0.6389729673311763
125,2.0,62.0,77.0,0.8333333333333334,0.6389729673311763
126,2.0,62.0,39.0,0.8333333333333334,0.5498534254557289
127,2.0,62.0,99.0,0.0,0.11561236467979652
128,2.0,62.0,17.0,0.0,0.23613903579620488
129,2.0,62.0,28.0,0.031007751937984496,0.1951411045701703
130,2.0,62.0,31.0,0.0,0.2116928463196333
131,2.0,62.0,88.0,0.4835164835164835,0.48250109745390696
132,2.0,62.0,78.0,0.0,0.16933318132299663
133,2.0,62.0,38.0,0.02,0.17575231196307428
134,2.0,62.0,15.0,0.0,0.21580855618822062
135,2.0,62.0,34.0,0.0,0.25011515318040634
